user_id,question title
6865456,"TypeError: Signature mismatch. Keys must be dtype &lt;dtype: &#39;string&#39;&gt;, got &lt;dtype:&#39;int64&#39;&gt;"
992600,Convert column&#39;s data to enumerated dictionary key-value
998967,Pandas - column not found in dataframe
6735434,Read large csv file chunks to dataframe and sort using column header as criteria
53491,"How to delete duplicates, but keep the first instance and a blank cell for the duplicates in Pandas?"
6827430,Vertical line at the end of a CDF histogram using matplotlib
6888731,SQL Column types in Jupyter Notebook
213334,How to handle JSON documents that have float values with no leading zeroes before decimal points?
6840039,Pandas: aggregate data through the dataframe
6389660,How to remove rows with duplicates in pandas dataframe?
2817602,Counting occurrence of a gender in a dataframe by age
1754273,Solving sets of non-linear equations as an array
5263412,Pandas broadcasting values given logical condition in group by
3197044,Pandas extract comment lines
5436714,Pandas and apply function to match a string
4795243,How to separate a CSV file when there are &quot;&quot; lines?
3153140,Compare two csv files and color code the difference in csv
6117337,How to extract date form data frame column?
4810381,Is it a good idea to apply ML libraries on pandas data frame?
6840039,Pandas: count some values in a column
5946185,Convert Pandas dataframe to Dask dataframe
1035217,Pandas Join Two Tables Based On Time Condition
2218402,Pandas DatetimeIndex strange behaviour
3960038,Pandas `read_json` function converts strings to DateTime objects even the `convert_dates=False` attr is specified
2821224,Panda how to groupby rows into different time buckets?
6661895,Insert list into cells which meet column conditions
1934212,Adding items to empty pandas DataFrame
6284734,pandas series drop when multiindex is not unique
6724844,groupby and add some rows
6186122,Trying to create a pandas series within a dataframe with values based on whether or not keys are in another dataframe
2259735,"Cannot get pandas to open CSV [Python, Jupyter, Pandas]"
6724844,How to add new column with handling nan value
6765878,Group unique 0th elements of CSV for unique ith elements in python or hive
3822779,How to use pd.melt for two rows as headers
6530451,Assigning indicators based on observation quantile
3822779,pandas.io.common.CParserError: Error tokenizing data. C error: out of memory
1625098,Convert range to timestamp in Pandas
5865631,How can I sort datetime columns by row value in a Pandas dataframe?
6545542,Create groups/classes based on conditions within columns
440732,sum of &#39;float64&#39; column type in pandas return float instead of numpy.float64
5882284,How can I filter for string values in a mixed datatype object in Python Pandas Dataframe
5405545,Getting percentages after binning pandas dataframe
2605262,TypeError for bar plot with custom date range
4455015,Plot datetime64 with matplotlib
6875401,pd.read_html() imports a list rather than a dataframe
3285014,Compare between 2 Excel files and give difference based on key column
6071128,TypeError: can&#39;t multiply sequence by non-int of type &#39;float&#39; (python 2.7)
4602441,Pandas - Alternative to rank() function that gives unique ordinal ranks for a column
686075,Writing long number to excel from pandas
4169892,pandas error when convert object to datetime
6132613,Update a null values in countrycode column in a data frame by matching substring of country name using python
5355800,Looping over pandas data frame applying formula to each value
1254450,Converting python dataframe(pandas) with a timestamp column to R dataframe using rpy2
6618225,Calculate a new column with Pandas
6863702,input column based on conditional statement pandas
2378710,Elementwise operation on pandas series
4544413,Join dataframes by column values pandas
6835733,Calculate RSI from pandas dataframe
1017373,Mapping multiple dataframe based on the matching columns
6699237,Why use pandas.DataFrame.copy() for column extraction
6618225,Define date format in Python / Pandas
6661895,Creating a list based on column conditions
6724844,How to check whether particular column completely match or not
2378710,Concatenate numpy array to pandas dataframe
6618225,Python Pandas convert column data type
6845144,Pandas DataFrame plotting - Tick labels
2752265,Count how many attributes have a word as a substring of longer text value
4554446,querying panda df to filter rows where a column is not Nan
2752265,Finding value of another attribute given an attribute
828602,Convert string column to integer
4424682,Pandas: when can I directly assign to values array
2336654,How do I replace all values equal to x in nth level of a multi index
4697430,pandas assign value based on mean
6485635,Resampling timeseries with a given timedelta
3430943,Pandas GroupBy Doesn&#39;t Persist After Applying Quantiles?
828602,Convert float to int and leave nulls
4936409,subtract consecutive rows from a .dat file
828602,Applying condition and update on same column
6132613,Update a null values in countryside column in a data frame with reference to valid countrycode column from another data frame using python
3419728,Marking certain days in date indexed pandas dataframes
6648687,pandas dataframe sample method causing different accuracy results after applying MultinomialNB
3854325,calculating result of a function for a column of a dataframe in python
1382498,python pandas count events within time window
1082349,Parallelize groupby with multiple arguments
6875401,Unable to import csv file to python using the pd.read_csv command
1479974,Pandas: How to open certain files
4117997,error using where with pandas and categorical columns
6056160,Do something to every row on a pandas dataframe
4203807,Trying to use pandas pivot like excel pivot
2408288,Convert the string 2.90K to 2900 or 5.2M to 5200000 in pandas dataframe
4824731,Using Pandas and Sklearn.Neighbors
5040701,Pulling data from from a dataframe in pandas using size method
1496984,scikit-learn - train_test_split and ShuffleSplit yielding very different results
2821224,"Pandas, split dataframe by monotonic increase of column value"
4309943,Can I set variable column widths in pandas?
1785589,multiple conditions for np.where python pandas
2587904,Pandas nested dict to dataframe
5301837,How to get distinct count of keys along with other aggregations in pandas
3340234,Tensorflow: loss is decreasing normally but accuracy is fluctuating through couple of value
5658036,Dataframe filtering in pandas
5487839,building datetime from 3 integer/float columns in pandas
5904495,Quickly sampling large number of rows from large dataframes in python
2378710,Group data into classes with numpy
4115378,"Indexing dataframe by datetime python ignoring hour, minutes, seconds"
3906918,How can I advance the index of a pandas.dataframe by one quarter?
3510736,Is There Complete Overlap Between `pd.pivot_table` and `pd.DataFrame.groupby` + `pd.DataFrame.unstack`?
2179021,How to swap columns conditionally in pandas
6873010,find problematic records - pandas dataframe
4936409,Subtracting the rows of a column from the preceding rows in a python pandas dataframe
4695774,"get desired element in numpy array of unequal row lengths, without using for loop"
2965601,Python Pandas: Retrieve id of data from a chunk
1842486,pandas dataframe issue with special characters
2965601,Python Pandas: Reuse stored means correctly to replace nan
4114372,How to create a pandas &quot;link&quot; (href) style?
5405782,Format a table that was added to a plot using pandas.DataFrame.plot
5199451,pandas: sort alphabetically if rows have same rank
4981251,Dataframe column showing half hour intervals
668624,determine length (or number of digits) of every row in column
5112032,Pandas slicing by element in cell
668624,pd.read_csv by default treats integers like floats
2336654,how to use the `query` method to check if elements of a column contain a specific string
668624,testing for NaN values: df[df[&#39;col1&#39;] == np.nan] does NOT equal np.isnan(df[&#39;col1&#39;])
2146894,How to make a group id using pandas
6869037,pandas - add a column of the mean of the last 3 elements in groupby
2951327,pandas pivot table aggfunc troubleshooting
6485635,Group DataFrame by period of time with aggregation
4484709,Pandas Nested functions: apply does not seem to recognize internal function
4215760,getting weighted average then grouping in pandas
6863702,Generating pandas column values based upon filename
5617886,spark Dataframe/RDD equivalent to pandas command given in description?
3864281,reindex some DataFrame columns to multi index
6866960,Sorting and arranging a list using pandas
1568919,pandas elementwise difference between two DatetimeIndex
4240695,Python pandas: Select columns where a specific row satisfies a condition
3779667,Pandas groupby and sum operators
1479974,pandas: extract date and time from timestamp
2213669,Python: creating a group column in a Pandas dataframe based on an integer range of values
1017373,Merging multiple dataframe bassed on matching values from three column into single dataframe
6538640,Trying to loop over colums in DataFrame and strip Dollar Sign
6037476,Optimal way to add small lists to Pandas DataFrame
1035217,Python Pandas .Apply Function to Vectorized Form
6866735,How to get key and value in well format and n/a values at the end in pandas
4706745,How to append several data frame into one
5550203,Pandas DataFrame with date and time from JSON format
6240545,Pandas charts claims a DataFrame is not a DataFrame
5617886,How to drop columns which have same values in all rows via pandas or spark dataframe?
5536001,Advantages of SQLAlchemy instead of straight pymssql
4313321,How to calculate the values of a pandas DataFrame column depending on the results of a rolling function from another column
1035217,Python Pandas Debugging on to_datetime
4574710,Uploading User Details from an excel file using pandas in python to postgres Database
517835,"For half-hourly intervals can I use Pandas TimeDeltaIndex, PeriodIndex or DateTimeIndex?"
6868875,Calculate z-score in data bunch but excluding N.A
4706745,How to sort/ group a Pandas data frame by class label or any specific column
5405782,Error when trying to write a matplotlib plot from Pandas DataFrame to pdf
4759209,Pandas.read_csv() with special characters (accents) in column names �
3609179,python pandas &#39;AttributeError: Can only use .dt accessor with datetimelike values&#39; decimal to hours
6719911,Index values of specific rows in python
4402942,Pandas dataframe pivot - Memory Error
6542551,Need to create a Pandas dataframe by reading csv file with random columns
316082,AttributeError: module &#39;mypandas&#39; has no attribute &#39;print_pandas_df&#39;
5473454,Pandas Python- read_csv not reading complete data on each row
3609179,python pandas parse date without delimiters &#39;time data &#39;060116&#39; does not match format &#39;%dd%mm%YY&#39; (match)&#39;
3822779,Get List of Unique String values per column in a dataframe using python
2605262,"Pandas groupby datetime, getting the count and price"
3182105,Pandas: Compare a column to all other columns of a dataframe
4896087,How to find out number of unique rows within a pandas groupby object?
1736542,How to create a new column in Python Dataframe by referencing two other columns?
6225734,"Error creating multiple plots in python using PdfPages, pandas, matplotlib, and a for loop"
4567933,Pandas DataFrame slicing based on logical conditions?
2367240,Looking up Pandas dataFrame
3993270,pandas histogram: plot histogram for each column as subplot of a big figure
4215760,Best way to combine datetime in pandas dataframe when times are close
4567933,Display Pandas DataFrame in csv format
4044400,LabelEncoder().fit_transform vs. pd.get_dummies for categorical coding
1479974,python: best way convey missing value count
2182234,Pandas HDF5 Showing Large Overhead per Observation
6865626,python pandas how to drop duplicates selectively
5095138,Identifying overlapping rows in multiple dataframes
6865456,TypeError: argument of type &#39;float&#39; is not iterable-Tensorflow wide_n_deep_tutorial
6828360,create df column name by adding global variable name and a string in Python
4566565,vectorize upper level of a vectoized code - python - numpy
2730295,parsing a dictionary in a pandas dataframe cell into new row cells (new columns)
2712770,"&quot;Already tz-aware&quot; error when reading h5 file using pandas, python 3 (but not 2)"
328725,Trying to plot a dataframe with missing values (None)
213334,Convert pandas dataframe column with xml data to normalised columns?
5366046,Aggregate dataframe indices in python
6485635,Loop over groups Pandas Dataframe and get sum/count
6639780,how to apply filter on one variable considering other two variable using python
4866196,how to fill color cells with 2 percentage data from other cells
4117997,ValueError: cannot use inplace with CategoricalIndex
5366046,Get pandas subseries by values when each value is a ndarray
513355,"How to convert pandas dataframe rows into columns, based on category?"
6714290,Python Convert Datetime from csv for matplotlib
5754771,4 dimensional nested dictionary to pandas data frame
2587904,Pandas append multiple columns for a single one
6840039,Pandas: groupby with condition
1591930,Processing data with different number of features
2587904,Pandas NaN introduced by pivot_table
213334,How to import normalised json data from several files into a pandas dataframe?
1025255,Can a pandas DataFrame hold non-scalar values?
6862189,How to plot a figure with Chinese Characters in label
1219003,What is the best way to represent or shape data with &gt;700 features for classification?
4713173,Write Pandas Series Vertically using to_csv
2013448,Create a 2D plot pixel grid based on a pandas series of lists
3609179,Parsing an irregularly spaced text file in Python pandas
6605582,Histograms in Pandas
1253493,Improve HDF5 Data frames Query time
5062134,replacing html syntax/ascii code in pandas columns
2965601,Python Pandas: Write certain rows in file
5319229,Appropriate Time to Dynamically Set Variable Names?
2277435,n-dataframes inner joined to final dataframe
2605262,Pandas Grouping By Datetime
1382498,find first instance of a row in pandas dataframe matching a criterion
6177375,Loop over Colums in Pandas Dataframe to create multiple plots with one x variable and mulitple y (colum values)
6860006,"In pandas dataframe, generate third column data based on results in two other columns"
4980269,Creating a Pandas DataFrame with HDFS file in .csv format
4215760,need help pivoting pandas table
4450508,ValueError: Could not broadcast during Pandas Dataframe Apply When Chunking
3839243,Pandas groupby over list
3340234,"How to break numpy array into smaller chunks/batches, then iterate through them"
165658,Cumulative Set in PANDAS
3107858,Pandas Dataframe automatic typecasting
4464245,np reshape within pandas apply
6041629,pd.read_csv ignores columns that don&#39;t have headers
5769402,Use of extended ASCII as separator with python and pandas
1718097,Converting between projections using pyproj in Pandas dataframe
948655,Python Pandas select rows based on membership of another collection (set)
5491423,Integer parameter in pandas DataFrame.drop function
4464245,Pandas convert columns type from list to np.array
4713173,Concatenate or Average A Dataframe In A Function
6858449,Make a table from 2 columns
6858388,How to create rows and columns in a .csv file from .log file
2587904,Pandas per group imputation of missing values
4882074,Function to calculate value from first row in Python Pandas
1479974,Pandas: create word cloud from a column with strings
6840039,Pandas: write condition to filter in dataframe
140100,converting dataframe to list of tuples on condition
6624389,how could i delete rows with repeating/duplicate index from dataframe
3937192,fill NaN with another lookup table
6620395,collect rows and columns based on id matching
6840039,Pandas: concatenate dataframes
2756793,Pandas: Change values chosen by boolean indexing in a column without getting a warning
4800086,Writing pandas DataFrame to JSON in unicode
6506593,Select Columns in pandas DF
5770622,pandas memory consumption hdf file grouping
6857038,Invalid syntax error in for loop pandas
1479974,Pandas: remove encoding from the string
2821224,Pandas how to split dataframe by column by interval
5606318,Pandas error trying to convert string into integer
6777053,Count the number of Occurrence of Values based on another column
6236113,How to read multidimensional dataframe in Pandas?
1764089,sqlalchemy / pandas - How do I create an sqlalchemy `selectable` to pass to pd.read_sql?
2336654,twist dataframe by rank
6148300,Convert DateTime to sequential day of the year
2629357,Pandas apply with list output gives ValueError once df contains timeseries
5754771,API Call - Multi dimensional nested dictionary to pandas data frame
3796635,pd.read_clipboard() giving me an error on Python 2
2605262,Pandas delete all rows that are not a &#39;datetime&#39; type
4972716,Key error in data-frame handling
5319229,How to Combine CSV Files with Pandas (And Add Identifying Column)
6855318,"pandas daily average, pandas.resample"
1479974,pandas: replace string with another string
6131788,Combining data divided between multiple columns after pivoting pandas data table
6263724,Complex time operations in Pandas
2564864,"Python, Pandas - Issue applying function to a column in a dataframe to replace only certain items"
5976692,Can I use pandas.dataframe.isin() with a numeric tolerance parameter?
6428010,Does the &quot;lambda x: x&quot; hack no longer work in pandas pivot table?
1479974,pandas: slice dataframe based on NaN
5487839,Python error when calling column data from Pandas DataFrame
1566200,Transposing a subset of columns in a Pandas DataFrame while using others as grouping variable?
2582017,How to access prior rows within a multiindex Panda dataframe
1650345,Setting pandas.DataFrame string dtype (not file based)
1708772,Python Conditionally Add Class to &lt;td&gt; Tags in HTML Table
2965673,Fill in time data in pandas
6797207,Pandas Filter on date for quarterly ends
6854280,Convert Hex Column in Pandas Without Iterating
3698214,Pandas Multicolumn Groupby Plotting
6485635,From DatetimeIndex to list of times
6849301,How to install packages/modules in IronPython
2251840,How to compare dataframe unique values with a list?
4745336,Convert a dict to a pandas DataFrame
2532296,changing major/minor axis interval and color scheme for heatmap
2587904,How to get data from R to pandas
6773083,name &#39;CustomBusinessDay&#39; is not defined
6849439,concatenate colums from multiples files
3115675,(Python) Using DictVectoriser from sklearn class with strings
6852858,Mask numbers in pandas
6609272,Finding efficiently pandas (part of) rows with unique values
4115378,Formatting datetime for plotting time-series with pandas
6852544,What am I doing wrong when using seasonal decompose in Python?
2582017,TypeError: can&#39;t multiply sequence by non-int of type &#39;float&#39; even after using np.multiply
6491801,Python pandas dataframe sort_values does not work
6777053,Assign Unique Values according Distinct Columns Values
1231450,DataFrame value startswith
2716660,How do I calculate the percent difference between the 1st and 6th key in a list of dictionaries?
6507553,How to check values of column in one dataframe available or not in column of another dataframe?
5698888,"How to extract year and week number in a dataframe and put it in a new column, python"
5337399,Replace values in a dataframes using other dataframe with strings as keys with Pandas
6507553,How to compare decimal numbers available in columns of pandas dataframe?
1736893,Python Pandas Data sampling/aggregation
6850787,Pandas Percent Change on Non-Descending Cells
48956,pandas.Series.get fails with: object has no attribute &#39;values&#39;
6222331,dask dataframe how to convert column to to_datetime
3698214,"Pandas group by, filter &amp; plot"
1118236,Pandas Dataframe return index with inaccurate decimals
2204131,Pandas: strip numbers and parenthesis from string
2807379,Pandas - is it possible to &quot;rewind&quot; read_csv with chunk= argument?
1496984,pandas - Merging on string columns not working (bug?)
3763732,Pandas: Drop quasi-duplicates by column values
2769240,Running a Python function on Spark Dataframe
5390557,"In a Python Bokeh Legend, How do I Change the display format of numbers?"
3142347,Pandas check if row exist in another dataframe and append index
3993270,pandas: find percentile stats of a given column
5040701,"Pandas/python and working with a column, in a dataframe, with a date"
2916309,how to insert new row in pandas data frame at desired index
2561804,Combine multiple time-series rows into one row with Pandas
6295849,How do I do diff analysis across grouped records?
3651036,"How do I request a zipfile, extract it, then create pandas dataframes from the csv files?"
3314282,Python Pandas Groupby-Apply Returning &#39;ValueError: Wrong number of items passed..&#39;
2582017,how to add a row to a Datetime Multiindex Panda Dataframe
1961582,Update Pandas dataframe value based on present value
1783974,geopandas AttributeError: &#39;MultiPolygon&#39; object has no attribute &#39;exterior&#39;
6204900,Using `apply` on datetime64 series in pandas
6564826,pandas date to string
6664393,"Getting the last value for each week, with the matching date"
5093471,Transform to normal Data Frame which has row as list. Split rows to column
4802797,rename the pandas Series
5718518,Selecting values from a series in pandas
2039162,Get next value from a row that satisfies a condition in pandas
6849055,merge() missing 1 required positional argument: &#39;right&#39;
6394663,Python Pandas calculate time until output reaches 0
6507553,How to compare four columns of pandas dataframe at a time?
2770803,Replacing NA in my dataframe in python
6835733,Part II: Counting how many times in a row the result of a sum is positive (or negative)
2857982,How to row-wise concatenate several columns containing strings?
4143292,How to partially remove content from cell in a dataframe using Python
1082349,Pandas replaces NAN with arbitrary number when to_latex
6840039,Python: read files from directory and concatenate that
6577353,read_sql and redshift giving error on unicode
274392,Python Pandas - how is 25 percentile calculated by describe function
2587904,Pandas operations on selected columns
4661552,Mapping data from other dataset. Python Pandas
6532319,Derive extra column from Pandas dataframe columns
6491801,Pandas read_csv does not get the last line in the CSV in python
4610828,Return Pandas DataFrame references/names to a list?
2582017,Adding a column to a Multiindex Dataframe
2272156,Create new column in pandas based on value of another column
6227378,Access values for a dictionary within a list in a column of a pandas dataframe
2002061,Pandas tz_localize: Infer dst when localizing timezone in data with duplicates
6846554,Unable to delete first row in matrix
5239351,Counting values using pandas groupby
2179021,Pandas groupby where all columns are added to a list prefixed by column name
6206935,How to find max in dataframe with in a certain length in python?
222151,Mean of a Pandas Panel
2582017,substract from date tuple
2179021,How to create an adjacency list from an edge list efficiently
6163540,Rename several unnamed columns in a pandas dataframe
3993270,pandas: Using color in a scatter plot
6845144,"Python, plotting Pandas&#39; pivot_table from long data"
3079675,Working with the output of groupby and groupby.size()
6845969,Python - calculating the range(highest - lowest) in different group
1934212,Cannot combine bar and line plot using pandas plot() function
6464893,Skip first row in pandas dataframe when creating list
1172265,Reduction the Pandas dataframe to other dataframe
5437137,Append row with counts in PANDAS
5239351,Removing values from dataframe based on groupby condition
5677595,Pivot Table with All the Index
4530884,Using set_index within a custom function
5063813,Extract data from multiple bracket string in Pandas and create new table
5235265,rolling apply in pandas shows &quot;TypeError: only length-1 arrays can be converted to Python scalars&quot;
4065400,How to keep one single column as a dataframe
2587904,Python deduplicate records - dedupe
6621781,Pyspark save `datetime` to 15-digits int
6163540,Aggregate function to data frame in pandas
5239351,Use apply() with Pandas Series
6201445,text to columns with comma delimiter using python
6571492,"I can load multiple stock tickers from yahoo finance, but I am having trouble adding new columns before it is saved to a csv"
6538640,"Combining Rows of two DataFrames, then deleting repeat entries"
2582017,Apply Numpy function over entire Dataframe
2582017,Apply a weight formula over a Dataframe using Numpy
6163540,Create a set from a series in pandas
2411320,sklearn SVM performing awfully poor
